# frame_index,wrist_x,wrist_y,wrist_vis,thumbCMC_x,thumbCMC_y,thumbCMC_vis,thumbMCP_x,thumbMCP_y,thumbMCP_vis,thumbIP_x,thumbIP_y,thumbIP_vis,thumbTIP_x,thumbTIP_y,thumbTIP_vis,indexMCP_x,indexMCP_y,indexMCP_vis,indexPIP_x,indexPIP_y,indexPIP_vis,indexDIP_x,indexDIP_y,indexDIP_vis,indexTIP_x,indexTIP_y,indexTIP_vis,middleMCP_x,middleMCP_y,middleMCP_vis,middlePIP_x,middlePIP_y,middlePIP_vis,middleDIP_x,middleDIP_y,middleDIP_vis,middleTIP_x,middleTIP_y,middleTIP_vis,ringMCP_x,ringMCP_y,ringMCP_vis,ringPIP_x,ringPIP_y,ringPIP_vis,ringDIP_x,ringDIP_y,ringDIP_vis,ringTIP_x,ringTIP_y,ringTIP_vis,pinkyMCP_x,pinkyMCP_y,pinkyMCP_vis,pinkyPIP_x,pinkyPIP_y,pinkyPIP_vis,pinkyDIP_x,pinkyDIP_y,pinkyDIP_vis,pinkyTIP_x,pinkyTIP_y,pinkyTIP_vis
11.000000,0.550000,0.480000,0.000000,0.530000,0.430000,0.000000,0.520000,0.390000,0.000000,0.520000,0.360000,0.000000,0.510000,0.350000,0.000000,0.540000,0.350000,0.000000,0.520000,0.310000,0.000000,0.500000,0.290000,0.000000,0.500000,0.290000,0.000000,0.540000,0.360000,0.000000,0.510000,0.310000,0.000000,0.500000,0.300000,0.000000,0.490000,0.300000,0.000000,0.530000,0.380000,0.000000,0.510000,0.330000,0.000000,0.490000,0.320000,0.000000,0.480000,0.320000,0.000000,0.520000,0.390000,0.000000,0.500000,0.360000,0.000000,0.490000,0.340000,0.000000,0.480000,0.340000,0.000000
12.000000,0.550000,0.480000,0.000000,0.530000,0.450000,0.000000,0.520000,0.420000,0.000000,0.500000,0.410000,0.000000,0.480000,0.400000,0.000000,0.540000,0.370000,0.000000,0.530000,0.320000,0.000000,0.510000,0.300000,0.000000,0.500000,0.290000,0.000000,0.530000,0.380000,0.000000,0.520000,0.320000,0.000000,0.510000,0.290000,0.000000,0.490000,0.280000,0.000000,0.520000,0.390000,0.000000,0.510000,0.330000,0.000000,0.500000,0.310000,0.000000,0.480000,0.290000,0.000000,0.510000,0.400000,0.000000,0.500000,0.360000,0.000000,0.490000,0.350000,0.000000,0.480000,0.330000,0.000000
13.000000,0.540000,0.480000,0.000000,0.520000,0.440000,0.000000,0.510000,0.410000,0.000000,0.490000,0.400000,0.000000,0.480000,0.390000,0.000000,0.520000,0.370000,0.000000,0.520000,0.320000,0.000000,0.500000,0.300000,0.000000,0.490000,0.290000,0.000000,0.520000,0.370000,0.000000,0.510000,0.310000,0.000000,0.500000,0.290000,0.000000,0.480000,0.280000,0.000000,0.520000,0.380000,0.000000,0.510000,0.320000,0.000000,0.490000,0.300000,0.000000,0.480000,0.290000,0.000000,0.510000,0.390000,0.000000,0.500000,0.350000,0.000000,0.500000,0.330000,0.000000,0.490000,0.310000,0.000000
14.000000,0.530000,0.470000,0.000000,0.530000,0.430000,0.000000,0.520000,0.400000,0.000000,0.500000,0.380000,0.000000,0.490000,0.370000,0.000000,0.520000,0.360000,0.000000,0.510000,0.310000,0.000000,0.500000,0.290000,0.000000,0.490000,0.280000,0.000000,0.520000,0.360000,0.000000,0.500000,0.310000,0.000000,0.490000,0.290000,0.000000,0.480000,0.280000,0.000000,0.510000,0.380000,0.000000,0.490000,0.340000,0.000000,0.480000,0.330000,0.000000,0.470000,0.320000,0.000000,0.500000,0.400000,0.000000,0.480000,0.390000,0.000000,0.470000,0.380000,0.000000,0.470000,0.380000,0.000000
15.000000,0.530000,0.470000,0.000000,0.520000,0.440000,0.000000,0.510000,0.400000,0.000000,0.490000,0.390000,0.000000,0.470000,0.390000,0.000000,0.520000,0.360000,0.000000,0.510000,0.320000,0.000000,0.490000,0.300000,0.000000,0.480000,0.280000,0.000000,0.510000,0.370000,0.000000,0.490000,0.320000,0.000000,0.480000,0.300000,0.000000,0.470000,0.290000,0.000000,0.500000,0.380000,0.000000,0.480000,0.350000,0.000000,0.470000,0.330000,0.000000,0.460000,0.320000,0.000000,0.490000,0.400000,0.000000,0.470000,0.380000,0.000000,0.470000,0.380000,0.000000,0.460000,0.370000,0.000000
16.000000,0.520000,0.470000,0.000000,0.520000,0.430000,0.000000,0.500000,0.400000,0.000000,0.480000,0.390000,0.000000,0.470000,0.390000,0.000000,0.510000,0.370000,0.000000,0.500000,0.320000,0.000000,0.490000,0.300000,0.000000,0.480000,0.280000,0.000000,0.500000,0.370000,0.000000,0.490000,0.320000,0.000000,0.470000,0.300000,0.000000,0.460000,0.290000,0.000000,0.490000,0.390000,0.000000,0.480000,0.350000,0.000000,0.460000,0.340000,0.000000,0.460000,0.320000,0.000000,0.480000,0.410000,0.000000,0.470000,0.400000,0.000000,0.460000,0.390000,0.000000,0.450000,0.390000,0.000000
17.000000,0.520000,0.470000,0.000000,0.510000,0.430000,0.000000,0.490000,0.410000,0.000000,0.470000,0.390000,0.000000,0.460000,0.390000,0.000000,0.510000,0.370000,0.000000,0.500000,0.320000,0.000000,0.480000,0.300000,0.000000,0.470000,0.290000,0.000000,0.510000,0.380000,0.000000,0.490000,0.320000,0.000000,0.470000,0.300000,0.000000,0.460000,0.280000,0.000000,0.500000,0.390000,0.000000,0.480000,0.340000,0.000000,0.470000,0.320000,0.000000,0.460000,0.310000,0.000000,0.490000,0.410000,0.000000,0.470000,0.380000,0.000000,0.460000,0.370000,0.000000,0.450000,0.350000,0.000000
18.000000,0.520000,0.470000,0.000000,0.510000,0.440000,0.000000,0.500000,0.410000,0.000000,0.480000,0.400000,0.000000,0.460000,0.390000,0.000000,0.510000,0.370000,0.000000,0.500000,0.320000,0.000000,0.490000,0.300000,0.000000,0.480000,0.280000,0.000000,0.510000,0.380000,0.000000,0.490000,0.320000,0.000000,0.480000,0.300000,0.000000,0.460000,0.280000,0.000000,0.500000,0.390000,0.000000,0.480000,0.350000,0.000000,0.470000,0.330000,0.000000,0.460000,0.310000,0.000000,0.490000,0.420000,0.000000,0.470000,0.390000,0.000000,0.460000,0.380000,0.000000,0.450000,0.370000,0.000000
19.000000,0.520000,0.460000,0.000000,0.520000,0.430000,0.000000,0.510000,0.400000,0.000000,0.490000,0.380000,0.000000,0.480000,0.370000,0.000000,0.510000,0.370000,0.000000,0.500000,0.320000,0.000000,0.490000,0.300000,0.000000,0.480000,0.280000,0.000000,0.510000,0.380000,0.000000,0.500000,0.320000,0.000000,0.480000,0.300000,0.000000,0.470000,0.280000,0.000000,0.500000,0.400000,0.000000,0.490000,0.350000,0.000000,0.470000,0.330000,0.000000,0.460000,0.320000,0.000000,0.490000,0.420000,0.000000,0.470000,0.400000,0.000000,0.460000,0.390000,0.000000,0.450000,0.380000,0.000000
20.000000,0.520000,0.460000,0.000000,0.510000,0.430000,0.000000,0.500000,0.400000,0.000000,0.480000,0.390000,0.000000,0.470000,0.380000,0.000000,0.520000,0.360000,0.000000,0.510000,0.320000,0.000000,0.490000,0.300000,0.000000,0.480000,0.280000,0.000000,0.510000,0.370000,0.000000,0.500000,0.320000,0.000000,0.480000,0.290000,0.000000,0.470000,0.280000,0.000000,0.500000,0.390000,0.000000,0.490000,0.340000,0.000000,0.470000,0.320000,0.000000,0.460000,0.300000,0.000000,0.490000,0.410000,0.000000,0.480000,0.380000,0.000000,0.470000,0.360000,0.000000,0.460000,0.350000,0.000000
